Event,Platform,User,Comments,Likes,Date,Sentiment,Emotion,Most Common Keyword
State of Play,Youtube,@bed391b5,I would be delighted if a new Sly Cooper game or a stealth game similar to Tom Clancy's Splinter Cell were to be released.,0,2 weeks ago,Positive,Happy,Game
State of Play,Youtube,@MoooseKing,Anyone else bring their best clown makeup for Kingdom Hearts 4?,8,2 weeks ago,Negative,Sad,Kingdom Hearts 4
State of Play,Youtube,@ZiAD-io3yk,Resident evil 9 .. PLEASE!,11,3 weeks ago,Positive,Happy,
State of Play,Youtube,@siloPIRATE,Like we needed more FPS games. The real star of the show is at 32:00. We get to find out what Astro did after fighting the dinosaur,0,2 weeks ago,Negative,Sad,Astro
State of Play,Youtube,@DionarTheLord,One day we will have ps3 games (like infamous) and bloodborne remaster and on pc.. One day..,0,2 weeks ago,Positive,Happy,
State of Play,Youtube,@Igones,"I’m so stupid, I always kinda hope for bloodborne knowing it will not happen",167,2 weeks ago,Negative,Fear,Bloodborne
State of Play,Youtube,@deathahoy8971,It’s so over blood bros,26,2 weeks ago,Positive,Happy,Astro
State of Play,Youtube,@iqraahmed830,All I wanted was something on MGS Delta: Snake Eater... Just anything... My day was ruined.,44,2 weeks ago,Positive,Happy,Game
State of Play,Youtube,@QlawzetReamL14,"Where Winds Meet gets a ""B"" out of me. Nioh and Rise of the Ronin vibes coming from this. Looks promising cannot wait to see future updates.",0,9 days ago,Positive,Surprise,Sony
State of Play,Youtube,@KusholaCam,So concord is just overwatch,0,2 weeks ago,Positive,Happy,Sony
State of Play,Youtube,@temwiggles9012,No Metal Gear Delta gameplay? The reveal was a whole year ago...,84,2 weeks ago,Positive,Surprise,Game
State of Play,Youtube,@Alphasnowbordergirl,Going to have to wait for Blade next year I guess.,16,13 days ago,Positive,Surprise,
State of Play,Youtube,@cemeryilmaz5660,Monster hunter wilds was by far the best one,0,2 weeks ago,Positive,Happy,Game
State of Play,Youtube,@Manuel.Medellin,No new trailer for MGS Snake Eater was probably the biggest Let down. ,0,2 weeks ago,Negative,Fear,Xbox
State of Play,Youtube,               @GeekU             ,That's it????????? where is Spider-Man 2 DLC? Wolverine? Resident Evil? Metal Gear 3 Remake?,11,2 weeks ago,Positive,Happy,Horrible
State of Play,Youtube,@Alphasnowbordergirl,"Well, Astro was the only one I was interested in. Got to live in the nostalgia. Concord looked kind of interesting, but I don't do multiplayer unless it is couch co-op. You know what games used to do. I don't want to talk or play with strangers! It's more fun to yell at family for failing you while they're sitting right next to you",0,13 days ago,Positive,Happy,
State of Play,Youtube,@NemesisMPPI,Silent Hill 2 Remake ,0,2 weeks ago,Positive,Happy,Concord
State of Play,Youtube,@itsABfr,Astro Bot being the best game announced shows how big of a failure this is.,17,2 weeks ago,Negative,Sad,Astro Bot
State of Play,Youtube,@ramijaber8238,"Sony, You need to wake up. WHERE ARE THE GAMES WHERE ARE THEY?!",43,2 weeks ago,Positive,Happy,
State of Play,Youtube,@sergiomelendez285,"Sums up the state of Gaming these days, i've accepted 2-3 big games a year with one of those being an unneeded sequel or remake",0,2 weeks ago,Positive,Happy,Playstation
State of Play,Youtube,@Bmjr899,Nice try Sony. Now please show us the real state of play,17,2 weeks ago,Negative,Sad,Game
State of Play,Youtube,@paulagarciallorente,Dino Crisis prayer button (aint happening)?,17,3 weeks ago,Negative,Fear,Dino Crisis
State of Play,Youtube,@lasthopedan,Concord would have been a fantastic title similar to guardians of the galaxy.....instead they preferred to make an overwatch that no one missed...but is it possible that they NEVER manage to listen to what the public wants!??!?,0,2 weeks ago,Negative,Fear,Concord
State of Play,Youtube,@karlos3063,Has Sony completely forgotten about PS4 ,1,2 weeks ago,Negative,Angry,State Of Play
State of Play,Youtube,@kukuV.3,Concord just seems like overwatch with extra steps,28,2 weeks ago,Positive,Happy,Halo
State of Play,Youtube,@Damnsceptic1,"To be fair, Where Winds Meet is supposed to be an amazing game. I was sad, when it was announced only on PC. But now I am really excited for it to be on PS5.",0,2 weeks ago,Negative,Sad,Where Winds Meet
State of Play,Youtube,@BratVaxer,THS LOOKS LIKE ANOTHER OVERWATCH CLONE,1,2 weeks ago,Positive,Happy,State Of Play
State of Play,Youtube,@brigandian,Concord looked soooo nice... until they said it's another 5v5 multiplayer bulls**t :(,39,2 weeks ago,Positive,Happy,
State of Play,Youtube,@TrollingstonJohn,i'm stoked to have Ragnarok on PC finally,28,2 weeks ago,Negative,Fear,Xbox
State of Play,Youtube,@CyndaYT,"Antara, Astro Bot, and Path Of Exile are the only 3 games I'm interested in out of all of this. Also Concord not being a free to play game with a battle pass system gonna hurt the game long term.",1,2 weeks ago,Negative,Fear,Astro Bot
State of Play,Youtube,@theoutlawking9123,"New Sly Cooper, New Resistance, New KILLZONE, c'mon Sony!",0,3 weeks ago,Positive,Happy,Console
State of Play,Youtube,@FoNgThOnG,"People: We want Guardians of the Galaxy, Overwatch, and Baymax. Sony: We have Guardians, Overwatch, and Baymax at home, it's called Concord though.",12,2 weeks ago,Negative,Sad,Concord
State of Play,Youtube,@samflood5631,"I think that both Silent Hi 2, Ballad of Antara, Where Winds Meet and Monster Hunter Wilds look promising and might be great.",0,10 days ago,Positive,Happy,State Of Play
State of Play,Youtube,@Alimighti,We getting Bloodborne 2/Remake before GTA 7 ,0,3 weeks ago,Positive,Happy,Xbox
State of Play,Youtube,@crossfire34,Can't you just smell the disappointment  coming?,11,3 weeks ago,Positive,Surprise,Sony
State of Play,Youtube,@psdmaniac,"Twisted metal with co-op and split screen, Lapd future cop (also great co-op and split screen ) or warzone 2100 sequel . That is all I need",0,2 weeks ago,Positive,Happy,
State of Play,Youtube,@sekiro5870,Concord looks like the type of studio that has DEI on the top of their list.,9,2 weeks ago,Positive,Surprise,
State of Play,Youtube,@greatvegetablesyes,Awesome. I love completely CGI trailers.,1,2 weeks ago,Positive,Happy,Game
State of Play,Youtube,@V4mini,NEW ASTRO GAME WE ARE SO BACK,0,2 weeks ago,Positive,Happy,
State of Play,Youtube,@MrPlum1282,Where winds meet is the only one of interest for me. ,8,2 weeks ago,Positive,Happy,State Of Play
State of Play,Youtube,@nazart7830,They should have at least announced spider man 2 single player dlc,19,2 weeks ago,Positive,Happy,State Of Play
State of Play,Youtube,@Seshking69,Marvel Spider-Man 2 DLC expansion please,1,3 weeks ago,Positive,Surprise,Astro
State of Play,Youtube,@Halo117Legend,"Concord looks so disappointing. I was expecting a really neat new single player Triple AAA game, not a generic looking multiplayer game. The moment they said ""5v5 team shooter"" is why I don't trust gane devs or cinematics anymore.",0,2 weeks ago,Negative,Fear,Gow
State of Play,Youtube,@lonewolfgames7779,I think it's time for a game crash. We are sorely needing one.,21,2 weeks ago,Positive,Surprise,Sony
State of Play,Youtube,@thewaffletaco8184,"Behemoth is the only thing that im really looking forward too. And Until Dawn, thatll hopefully be a fun trip down memory lane",0,2 weeks ago,Positive,Happy,Disappointed
State of Play,Youtube,@user-hn1nt4kk5v,Do we have a need to worry about the fact that Astro Bot was one of the best games in this gen?......,0,2 weeks ago,Negative,Sad,Astro Bot
State of Play,Youtube,@r-rod8116,Astro Bot was the only thing I liked on this State of Play and Silent Hill 2 remake. The rest sucked.,8,2 weeks ago,Negative,Sad,Game
State of Play,Youtube,@EsinAmiz,It is absurd to have a 10-second countdown for a 30-second countdown.,17,2 weeks ago,Positive,Happy,Sony
State of Play,Youtube,@MobBossBobRoss,"Monster Hunter Wilds was dope to see, only wish they showed off more enemy types/biomes. Astrobot looks surprisingly great. I'll be honest, I'm not as negative as others about Marvel Rivals or Concord. I would try them as Overwatch has gone into the trash and I've never played Valorant but I do see oversaturation in that space.",0,2 weeks ago,Positive,Surprise,
State of Play,Youtube,@rajamohanareddygayam5309,"If there's either a SM2 DLC/ Venom/ Wolverine/ Astro game, I'm satisfied.",0,2 weeks ago,Positive,Happy,Playstation
State of Play,Youtube,@torteweenie8406,Where is sackboy? Is he safe?,37,2 weeks ago,Positive,Happy,Boring
State of Play,Youtube,@Riddler_von,I don’t want to play with other people. I game alone and love it that way.,1,11 days ago,Positive,Happy,
State of Play,Youtube,@QlawzetReamL14,Astro Bot is very charming. I am glad this little guy is getting another game.,0,9 days ago,Positive,Happy,Game
State of Play,Youtube,@arthurmaxson9698,Will only be peak if they announce ps5 ports for the Ratchet and Clank Trilogy.,20,3 weeks ago,Positive,Happy,Poe
State of Play,Youtube,@BratVaxer,Shut up and take my money ASTRO BOT ,16,2 weeks ago,Negative,Angry,Xbox
State of Play,Youtube,@Shikori_Tsuru,Ballad of Antra is looking sick. As long as the gameplay is smooth I should enjoy it (not like I have a PS5 though).,0,2 weeks ago,Positive,Happy,Concord
State of Play,Youtube,@adamdufty2536,Concord had me excited. Thought it looked like a cool futuristic game that gives a similar vibe to Uncharted. I can't wait to jump into that single player adventure for treasure across a series of strange new worlds. I wonder which character I get to play as. Then they said 5v5 shooter and I said nope. Not for me.,1,2 weeks ago,Negative,Fear,Playstation
State of Play,Youtube,@Spider-Bite,"Wow, a cutscene. We want gameplay.",25,2 weeks ago,Positive,Surprise,
State of Play,Youtube,@akagolden,Why do I always hype myself up and end up disappointed. I need to start going in with low expectations.,27,2 weeks ago,Negative,Sad,Disappointing
State of Play,Youtube,@wizrd1014,Concord would’ve been cool as a single player but I guess that’s to much to ask for,0,2 weeks ago,Positive,Happy,
State of Play,Youtube,@Karlsefni-tu4zf,"I was honestly interested in checking out Concord, then when it said 5v5, I just tuned out completely.",1,2 weeks ago,Positive,Happy,
State of Play,Youtube,@DelDjango96,Resident Evil?,14,3 weeks ago,Positive,Happy,Xbox
State of Play,Youtube,@Abitofeverything4,Concord looks like a mix between Destiny and Suicide Squad. Not interested.,11,2 weeks ago,Positive,Happy,Concord
State of Play,Youtube,@HansenHansenHansen,I questioned my decision for buying ps5. Should’ve wait and play it on my PC instead…,0,2 weeks ago,Negative,Fear,Release
State of Play,Youtube,@ther0n1nnamed47,"Concord had me excited until it was revealed to pretty much be an overwatch clone (to be fair, overwatch's cinematic trailers had me excited too)  Tha said im only excited for a few games here still after this.",0,2 weeks ago,Negative,Sad,Game
State of Play,Youtube,@SoundwaveSpectre,love that they opened with great value brand guardians of the galaxy.,0,2 weeks ago,Positive,Happy,Sony
State of Play,Youtube,@Mimic_Gaming,Well this felt like a waste of time  Edit: until I saw the astrobot game,0,2 weeks ago,Negative,Sad,Astro Bot
State of Play,Youtube,@piotrfrys7983,It would be funny if they announced the PS5 Pro inside Astro Bot,9,2 weeks ago,Positive,Surprise,Horrible
State of Play,Youtube,@damiansouders9119,"The thing ive always loved about PlayStation and has kept me a devoted fan up to this point were single player games with great stories but seeing as how everything is starting to go online and thats where the main focus lies, i may as well go buy an xbox now. They already bought out most of the major titles anyway. Gonna be sad to see a console that has been in my life since as far back as i can remember probably not make it to the end of the decade.",0,9 days ago,Positive,Happy,
State of Play,Youtube,@mbarrios386,Nothing is catching my eye so far…any one else having this issue?,0,2 weeks ago,Positive,Happy,
State of Play,Youtube,@alecks8432,Concord was almost such a cool singleplayer game.,20,2 weeks ago,Positive,Happy,Concord
State of Play,Youtube,@GarryMah85,I'm excited for Astro Bot being a full fledge game,30,2 weeks ago,Negative,Sad,Game
State of Play,Youtube,@oscarcamey8,Hyped for Astro bot!,0,2 weeks ago,Positive,Happy,Playstation
State of Play,Youtube,@pastramipete4713,Chinese/japanese developers try not to just make a souls like challenge. Difficulty impossible,0,2 weeks ago,Negative,Fear,Concord
State of Play,Youtube,@Alien_isolationist,"It's June, they should be giving us gameplay trailers & release dates of every single game for 2024, only 7 months left in the year   ",11,3 weeks ago,Negative,Fear,Game
State of Play,Youtube,@iNINJAgamer,Astro Bot was a slap in the face… to who you know who. ,1,2 weeks ago,Positive,Happy,Game
State of Play,Youtube,@AtomicRey,Monster Hunter Wilds is all I cared about ,0,2 weeks ago,Negative,Sad,Xbox
State of Play,Youtube,@Phasmomancer,Literally a waste of time,11,2 weeks ago,Positive,Happy,Xbox
State of Play,Youtube,@InvitalPulse,"Wow, that was nothing.",0,2 weeks ago,Positive,Surprise,Playstation
State of Play,Youtube,@Rancor9000,Please no more live service multiplayer hero shooters...,0,2 weeks ago,Positive,Happy,
State of Play,Youtube,@dominicmallano5633,What if they combine guardians of the galaxy and overwatch?   You just get an overwatch clone,16,2 weeks ago,Positive,Happy,
State of Play,Youtube,@Winter_mendor,1) Spiderman 2 dlc 2) ps5 pro 3) marvel wolverine  4) venom game 5) new astro bot game,8,3 weeks ago,Positive,Surprise,Boring
State of Play,Youtube,@treovr,"AstroBot is the best, Sony please dont ever abandon him like every other mascot",0,2 weeks ago,Negative,Fear,Astro Bot
State of Play,Youtube,@razz9266,"WE ALL DO NEED MULTILAYER ONLINE.. Like where we were a kids, we like to PLAY games together but then we grow up, time and place we don't have. Multiplyer games is your answers, with so many people that can be your friend. If you bored play solo games you can play with them.",1,2 weeks ago,Negative,Fear,Sony
State of Play,Youtube,@liv3vilkei409,Am I the only one showing interest in Ballad of Antara?,17,2 weeks ago,Positive,Happy,Game
State of Play,Youtube,@kommanderkronk,So we have Guardians of the Galaxy Overwatch and Marvel Overwatch....jsut making sure I'm keeping up,2,2 weeks ago,Positive,Surprise,Game
State of Play,Youtube,@adrianjimenez409,New IP's!,0,3 weeks ago,Positive,Happy,
State of Play,Youtube,@TrickyJebus,Dynasty warriors origins seems pretty cool though,0,2 weeks ago,Positive,Happy,Silent Hill
State of Play,Youtube,@QlawzetReamL14,"Concord gets a ""C"" out of me. Presentation was fine, it told me some lore, showed a gameplay clips (I guess). It looks like if Overwatch and Guardians of the Galaxy did a fusion dance. Again ""C"" is my grade cause there is a possibility of it being a ""rushed product"" and I like my games at least playable on day one(ish).",1,9 days ago,Positive,Happy,
State of Play,Youtube,@BraydenGustBriggs-iq3bn,Bro they ended it right there?,30,2 weeks ago,Negative,Fear,State Of Play
State of Play,Youtube,@AFK_Psychics,"I didnt really have much hope for RE9 being revealed, but now since Play Asia released it for Pre-Order and called it Revenant Shadows. I think chances might have gotten a little higher",1,3 weeks ago,Negative,Fear,Sony
State of Play,Youtube,@aidryanrobert9352,This was bad. . . . Seems to me that Sony wants me to sell my ps5 . . . .,0,2 weeks ago,Positive,Happy,Game
State of Play,Youtube,@zimmyp,Baldur's Gate 3 really was the peak of gaming wasn't it?,0,2 weeks ago,Positive,Happy,Sony
State of Play,Youtube,@tacosdecabeza,"Bro Concord looks like if Overwatch, Destiny, Call of duty, Valorent, and Xdefiant had a Child",0,2 weeks ago,Negative,Sad,Concord
State of Play,Youtube,@wuztron,"Okay, Monster Hunter looks pretty dope.",9,2 weeks ago,Positive,Happy,
State of Play,Youtube,@RuzakyNOD,Where is single player great games? What is ps5 at this point? Live service console ?,0,2 weeks ago,Positive,Happy,Game
State of Play,Youtube,@sankai91,"""GoW coming to PC"" - me: oh!  ""PSN mandatory"" - me: oh.. ",1,2 weeks ago,Positive,Surprise,Game
State of Play,Youtube,@niveketihw1897,"Kind of crazy that Astro Bot was PSVR1-only, and now we have a new Astro Bot game that apparently doesn't even use PSVR2.",25,2 weeks ago,Positive,Happy,Concord
State of Play,Youtube,@user-Dragon-King740,Please Marvel’s Spider-Man 2 dlc,9,3 weeks ago,Positive,Surprise,
State of Play,Youtube,               @IOSARBX             ,"PlayStation, This is so fun! I'm happy I found your channel!",1,2 weeks ago,Positive,Happy,
State of Play,Youtube,@DelcoAirsoft,The fact that we got trailers for two hero shooters that look like Overwatch ripoffs just shows that the current industry doesn’t know what people want. They probably started making these game like 5 years ago at least. It’s so out of touch.,0,2 weeks ago,Negative,Sad,Overwatch
State of Play,Youtube,@CameronCarterTV1,we need a parappa the rapper game tbh,9,2 weeks ago,Positive,Happy,Boring
State of Play,Youtube,@kanashima,remake nobody wanted,8,2 weeks ago,Positive,Happy,Gow
State of Play,Youtube,@GlaciusXL,CONCORD looks like a PS Plus Monthly game that I'd pass on.,10,2 weeks ago,Positive,Happy,Boring
State of Play,Youtube,@calcifervenere9742,The Gameplay and animations of Concord really look like Destiny,0,2 weeks ago,Negative,Sad,Concord
State of Play,Youtube,@-Down-D-Stairs-,Wishlist:  • Bloodborne Remastered / Remake  • Jak & Daxter 4  • Legend of Dragoon Remake • Playstation All-Stars 2  • Sly Cooper 5,0,2 weeks ago,Positive,Happy,
State of Play,Youtube,@jonathantyner171,I need Kingdom Hearts 4 and Soul Calibur 7,10,3 weeks ago,Positive,Surprise,
State of Play,Youtube,@breadlast,Everything except Monster Hunter Wilds and PoE2 looks kinda lame but I'm excited for those two.,0,2 weeks ago,Negative,Sad,Sony
State of Play,Youtube,@jan-henrik1237,PoE 2 Couch Coop and Astro Bot are the highlights for me ,20,2 weeks ago,Negative,Fear,Boring
State of Play,Youtube,@underratedgamer9243,Like Zendaya said in Spider-Man no way home expect disappointment so you won’t be disappointed,0,2 weeks ago,Negative,Sad,Game
State of Play,Youtube,@mjdc-james,"I am hoping for Spider-Man 2 DLC, TLOU 3, RE9, Wolverine, or Ghost Of Tsushima 2!!! ",0,2 weeks ago,Positive,Happy,
State of Play,Youtube,@johnnyp1852,"I only play single player games(nonVR).  Only two things caught my eyes: The Astro trailer for a second reminded me of Knack and I thought it could be playable.  The top down game when I saw it I thought hey I could see myself playing that on PC.  I almost hope the majority of the players are into multiple player, micro transactions, pay to win games, otherwise Sony may be even more anti customer than I already believe them to be.",9,2 weeks ago,Positive,Surprise,Boring
State of Play,Youtube,@PheenX,"So help me understand, why are we getting a special State of Play segment for a game we already have, getting a pc port? Like what does that have to do with Playstation or State of Play",0,2 weeks ago,Negative,Sad,
State of Play,Youtube,@Walt_Raleigh,"Astro looks fun 5 years late, but fun",0,2 weeks ago,Positive,Happy,State Of Play
State of Play,Youtube,@DARUMA_05,33:33 PARAPPA THE RAPPER REFRENCE?!?!   dude... this is gonna be goty frfr,11,2 weeks ago,Positive,Happy,
State of Play,Youtube,@bizybee8192,Ive been a gammer for 35 years and the number one thing i have learned when people say Gameplay.... It never is the final product and is not actual gameplay :D,12,2 weeks ago,Negative,Fear,Boring
State of Play,Youtube,@Lock2002ful,"Finally got around to watch this. Phew, that was something.. Guess Silent Hill 2 and Astrobot are it. Astrobot can really by Sony’s Mario. I love the char(s), the visuals and most importantly the gameplay. They need to have an Astro Boy platformer and VR 2 game ready every couple of years, not once in a generation.",0,2 weeks ago,Positive,Surprise,
State of Play,Youtube,@jayr3053,Astrobot should have a VR mode..,0,2 weeks ago,Positive,Happy,State Of Play
State of Play,Youtube,@Akirapoet,If I had one cent everytime I see a ninja or samurai game nowadays...,13,2 weeks ago,Positive,Happy,Concord
State of Play,Youtube,@WavyVaporizers,Ballad of Antara will be a masterpiece,12,2 weeks ago,Positive,Surprise,
State of Play,Youtube,@rincein,I think Playstation is just waiting for gta just like all of us,4,2 weeks ago,Positive,Surprise,Disappointing
State of Play,Youtube,@dantealexanderescotogomez9759,I don't know if it appears the same to you but it tells me that the video lasts 35:32 minutes,0,3 weeks ago,Negative,Sad,Disappointed
State of Play,Youtube,@rpantocet,We hope remakes of classic PS3 games,47,3 weeks ago,Negative,Fear,
State of Play,Youtube,@Alexkid-mi6mb,Why is Astro Bot not 4 PSVR2? It’s a shame.,2,2 weeks ago,Positive,Happy,
State of Play,Youtube,@13DNBNGAMING13,I'm on  the verge of buying a PS5 and hoped to get reeld in with this state of play. Only thing it told me was don't!,1,2 weeks ago,Negative,Sad,Disappointing
State of Play,Youtube,@gabriellins9881,Where is Ghost of Tsushima 2?,27,2 weeks ago,Positive,Happy,Sony
State of Play,Youtube,@zy2239,Shadow of the Colossus 2 … mark my words ,34,3 weeks ago,Negative,Angry,Gow
State of Play,Youtube,@EspenAndreassen77,Astro Bot should be a couch co-op game.,1,2 weeks ago,Positive,Happy,Playstation
State of Play,Youtube,@Kinos141,Silent Hill 2 is looking very Resident Evil 2 and I like that.,0,2 weeks ago,Positive,Happy,
State of Play,Youtube,@SnuffleUffagus,When astro bot is your most exciting game you messed up.,13,2 weeks ago,Negative,Angry,Astro Bot
State of Play,Youtube,@howgamin,"now that ragnarok is on pc, the ps5 truly has no games",0,2 weeks ago,Positive,Happy,Horrible
State of Play,Youtube,@astahesta123,Astrobot looks incredible!!,9,2 weeks ago,Positive,Surprise,
State of Play,Youtube,@mickeyd343,"I didn't know Super Mario Galaxy Odyssey was coming coming to the PS5, but why are they calling Astro Bot",0,2 weeks ago,Positive,Surprise,State Of Play
State of Play,Youtube,@gtone339,Perhaps a surprise announcement from an unknown studio?,0,3 weeks ago,Positive,Surprise,
State of Play,Youtube,@dantein1081,They should’ve done nothing,9,2 weeks ago,Positive,Happy,
State of Play,Youtube,@EnahsFurm,How anyone thinks PlayStation is ahead of of Microsoft.. are insane.,8,2 weeks ago,Positive,Surprise,
State of Play,Youtube,@prazzo1232,Who is most excited for Astrobot!?!?!,0,2 weeks ago,Negative,Sad,Astro Bot
State of Play,Youtube,@pabloqp7929,"Bloodborne Remaster on PC, Bloodborne 2!!",0,3 weeks ago,Positive,Happy,
State of Play,Youtube,@Lorenzopariso,Playstation show but featuring the biggest highlight is its game coming to PC,0,2 weeks ago,Positive,Surprise,Game
State of Play,Youtube,@David_loves_foods,Astro bot is the only game that I want from what was shown,0,2 weeks ago,Positive,Happy,Game
State of Play,Youtube,@mimicman06,"When the Astro Boy trailer is the best thing shown, something is wrong with the State of Sony's lineup.  I will be watching Astro Boy closely though, for real.",0,2 weeks ago,Negative,Sad,Boring
State of Play,Youtube,@ArxAngel12377,"We are focused on exclusives! That was the main idea why Sony still needs to take money for both PS Subscription AND their new ""exclusives""... And once again an exclusive stops being exclusive in order to gain even more money. So we do have Demon's Souls as an actual exclusive. 4 years has passed. Can you name 4 other actual exclusives that gamers have for PS5 only? This State of Play is a disaster. When main titles are another Remake of PS2 game and Astro Bot... I think Sony admits that they are completely out of ideas already. Actually who cares about Pro version, when there is NOTHING that you are offering from your end?! Better hardware... but what for, Sony?! Actually - what for?!!! Where are the promised ""like no other"" exclusives?!",0,2 weeks ago,Negative,Sad,Sony
State of Play,Youtube,@victorblakely6355,Who's sick of battle royals..   Me,0,2 weeks ago,Negative,Sad,Game
State of Play,Youtube,@bellissimo4520,"17:50 - FINALLY a VR action game with not frikkin floating hands!! Seriously, why is that so hard to do... floating hands are horrible and completely destroy the immersion.",0,2 weeks ago,Negative,Fear,Astro
State of Play,Youtube,@Dunnkare,"Monster Hunter wins the show, but Astro Bot swoops in for a very close second place. Playroom was awesome and this new game just looks great!",1,2 weeks ago,Positive,Happy,
State of Play,Youtube,@baddmeeloo,MGS 3 Remake and DBZ Sparking Zero release date!!! New PSP!!!,0,3 weeks ago,Positive,Happy,Playstation
State of Play,Youtube,@nsomniak8196,best game shown so far!!! so happy the launch title is getting a sequel 5 or so years later!!! worth the wait !!!,0,2 weeks ago,Negative,Fear,Playstation
State of Play,Youtube,@angelosa.3178,All that for a 5v5 multiplayer….sad,0,2 weeks ago,Positive,Happy,Astro
State of Play,Youtube,@Darksaviour,26:06 can we please make this a frequent thing again.,0,9 days ago,Negative,Sad,Game
State of Play,Youtube,@THEBEASTKING109,Kingdom Hearts 4,4,3 weeks ago,Negative,Sad,Sony
State of Play,Youtube,@X..8,Sony is number one in exclusives,0,3 weeks ago,Negative,Fear,State Of Play
State of Play,Youtube,@Mattressinsptr,Old gamer here. Not into FPS at all.  Was just recently playing the Astrobot that came with PS5. Forgot how much fun it was.. Love seeing a new Astrobot coming to PS5. Not much excited me in video cept Monster Hunter.  I didn't see one JRPG ,0,2 weeks ago,Positive,Happy,State Of Play
State of Play,Youtube,@QlawzetReamL14,"Skydance's Behemoth gets a ""C"" out of me. I don't play VR games however presentation looks promising, I guess. Skyrim vibes.",0,9 days ago,Positive,Surprise,
State of Play,Youtube,@avpedmond1923,Resident Evil 9 ,0,3 weeks ago,Positive,Happy,
State of Play,Youtube,@pinny_wiz8090,Show me new Astro thank u,0,3 weeks ago,Positive,Happy,astro
State of Play,Youtube,@hernangodoyyanez8785,Helldivers 2 looking at the comments must be shaking the head.,0,2 weeks ago,Negative,Fear,Helldivers 2
State of Play,Youtube,@vakeervondelecruax8526,Destiny + Apex + Overwatch = Concord hmm... yeah not feeling this one....,1,2 weeks ago,Negative,Sad,concord
State of Play,Youtube,@AlbertoAguilera-vh9xf,I’m hoping for a new infamous game or a new project from Fumito Ueda,0,3 weeks ago,Negative,Sad,game
State of Play,Youtube,@paulrussell9632,Why are there people dressed like influencers in a Monster Hunter game?,0,2 weeks ago,Positive,Happy,game
State of Play,Youtube,@davidsingleton2395,i see only moster hunter... it was only ever monster hunter,0,2 weeks ago,Positive,Happy,Monster Hunter
State of Play,Youtube,@eliascervantes193,until dawn could've used an actual date js,12,2 weeks ago,Positive,Happy,Until Dawn
State of Play,Youtube,@LockyMVoices,GIVE US SLY 5 ALREADY,0,3 weeks ago,Negative,Fear,
State of Play,Youtube,@rapidblaster2648,I Wonder if they will keep on promoting VR.,0,3 weeks ago,Positive,Surprise,
State of Play,Youtube,@herrypottier4201,Does this mean my PS5 can fly? ,0,2 weeks ago,Positive,Happy,
State of Play,Youtube,@henryhau7987,Enjoying my 4th playthrough of Stellar Blade and laughing at yet another live service game I will never play.,0,2 weeks ago,Positive,Happy,game
State of Play,Youtube,@k.a.g5715,What is this reincarnated in another world as a photographer,0,2 weeks ago,Positive,Happy,
State of Play,Youtube,@oldmilesmoralesrblx,I NEED A SPIDER-MAN 2 DLC,8,3 weeks ago,Positive,Happy,
State of Play,Youtube,@deebeneby8811,Please put ready or not swat game on ps5,0,2 weeks ago,Positive,Happy,game
State of Play,Youtube,@muhammadwaseem3604,SONY Should also develope a Cinema gaming technology in which A lot of players can enjoy hyper realistic animation Scaled games in multiplayer mode in Gaming Cinema concept. SONY can also develop VR view and virtual environmental Technology that can mimic the environment of the game. And a specific VR projection Could be used for Realistic feel and interaction.,1,2 weeks ago,Negative,Fear,sony
State of Play,Youtube,@AzAnimeParodiaStudio,Dear Sony! I Hope some of the Management is going to check on the comments after this state of play! You can alredy stop working on the Concord because the game is alredy doomed. You giving us PC ports on the official Playstation Reavel event??? NONE of these multiplayer b**s***t games will survive more than a few weaks after relase. Pepole buy playstation for SINGLE PLAYER experiences.. thats wy you got those massive third party studios... and where are they? None of them relased nothing so far.... you are lucky with helldivers 2 but eaven that games luck is statring to fade...a few more State of Plays like this and your sales will fade as well...,16,2 weeks ago,Negative,Fear,playstation
State of Play,Youtube,@crystalknighthgaming,An alien vr game heck ya,0,2 weeks ago,Negative,Fear,game
State of Play,Youtube,@musticlas,"State Of Play doesn't feel like PlayStation anymore. It feels more like Ubisoft/EA now... so out of touch, awkward dialogue of both presenters and games characters, intermission/transition music between games, etc...",0,2 weeks ago,Negative,Sad,playstation
State of Play,Youtube,@TheHardStyleLife,Nintendo just sitting there ready to annihilate the competition.,12,2 weeks ago,Positive,Happy,
State of Play,Youtube,@nicsilva5438,Pragmata ,0,3 weeks ago,Positive,Happy,
State of Play,Youtube,@MedicFromMoon,Who is the audience for this?,0,2 weeks ago,Positive,Happy,
State of Play,Youtube,@ScacklyWackly,Petition for something to do with Bloodborne  ,0,2 weeks ago,Positive,Happy,
State of Play,Youtube,@QlawzetReamL14,"Marvel Rivals gets a ""looks promising, I hope it works"" out of me. While it is not my kind of gameplay style, I could see myself playing this on and off just because of the Marvel paint.",0,9 days ago,Positive,Happy,Marvel Rival
State of Play,Youtube,@TRYNDAREUS,"Nothing but live service Fortnite copies, remakes and pc ports.",0,2 weeks ago,Positive,Happy,
State of Play,Youtube,@niktroll2034,"SILENT HILL, PLEASE",0,3 weeks ago,Positive,Happy,Silent Hill
State of Play,Youtube,@TrickyJebus,When are you going to fix the PSN account being banned in 100+ countries???,0,2 weeks ago,Negative,Sad,
State of Play,Youtube,@abraham2217,"I would wish for a Days Gone sequel, but that would be too grandiose.",0,2 weeks ago,Positive,Happy,
