"User","Comment","Likes","Date"
"@anarfox","No VR for Astro Bot is a huge disappointment.","23","2 weeks ago"
"@Archangel0582","I was expecting nothing and was still disappointed...","20","2 weeks ago"
"@tpmgaming999","Astrobot looks awesome","1","2 weeks ago"
"@everx7","Concord looked really interesting until devs opened up with 5v5, i was like no thanks","         ","2 weeks ago"
"@FadiMARc","Worst state of play yet ","19","2 weeks ago"
"@solkannar7462","well, i see no reason to turn my ps5 on any soon.","17","2 weeks ago"
"@Mrkarate9","Xbox showcase was way better than this, and that's still an understatement.","13","11 days ago (edited)"
"@divineoblivionx","Learned GOW Ragnarok on PC will require a PS Account. You didn't learn from what happened with Helldivers II apparently.","         ","2 weeks ago"
"@Floink-he5qm","Astrobot saved this state of play","32","2 weeks ago"
"@ath-har7611","The scariest part of that silent hill trailer is the voice acting. Hope it is better in the final release.","68","2 weeks ago"
"@Ongomar","I'm only hyped for Astro Bot","1","2 weeks ago"
"@Elayzee","You guys really REALLY thought ""Concord"" was something remarkably special that your base was just ITCHINg to play. Someone didn't read their audience before green lighting this cringe.","1","10 days ago"
"@jlruiz9237","That Concord cinematic was so bad I’m never touching that game.","106","2 weeks ago"
"@HeisenbergFam","You know its state of play video when they show live service games","15","2 weeks ago"
"@mitchhahn933","You’d have to pay me an insane amount of money to even think about trying concord.","         ","2 weeks ago"
"@mahadsaeed9427","Where are games like Battlefield1, Overwatch 2 und Titanfall, bitte sony bitte… nein wesser bitte","2","2 weeks ago"
"@man-thing5567","We all came here for Wolverine and nothing…well I suppose Il go back to playing PS4 games on the PS5","11","2 weeks ago"
"@jeffreydean5112","2 games looked kinda interesting. These companies have no idea what gamers want.","18","2 weeks ago"
"@Excaviliar","Based on these comments I was expecting way more than just 1 admittedly very disappointing live service game announcement","1","2 weeks ago"
"@jonathantyner171","Fatal Fury: city of the wolves character trailer should be shown","1","11 days ago"
"@ParkBarrington360","A THIRD of the presentation dedicated to ONE game ","24","2 weeks ago"
"@cristianrobertmiu7206","2010 called. They want their games back.","179","2 weeks ago"
"@MSB_394","Astro bot has save the state of play from his ruins ","1","2 weeks ago"
"@sagnikambaly","Concord feels like Redfall meets Guardians of the Galaxy","         ","2 weeks ago"
"@capnceem","These demos have all been building up to this point. Finally, we can play a full-fledged astro bot game.","10","2 weeks ago"
"@goncalopereiraandrade","Sly Cooper and Jak and Daxter new videogames. Please Sony PlayStation bring them back ","233","3 weeks ago"
"@CringeLordu","I have zero expectations out of Silent Hill 2 remake but I think Konami won’t disappoint to disappoint.","         ","2 weeks ago"
"@Nighhhts","Astro Bot looks phenomenal…  Ballad of Antara and Where Winds Meet both look awesome too.  Infinity Nikki may not be my type of game, but it’s a beautiful game with amazing music.","         ","2 weeks ago (edited)"
"@justinsmith4165","Next Astro Bot Game ","248","3 weeks ago"
"@chaseturner2402","PlayStation vr needs its own state of play","53","2 weeks ago"
"@ThatsJustDucky13","Astro bot actually seems like a really fun super Mario game","         ","2 weeks ago"
"@labmonkeycreative","I can't believe we're getting an Until Dawn demake before a bloodborne pc port or patch or literally anything.","         ","2 weeks ago"
"@Masterminds29291","Can i get back  35 minutes and 31 seconds of my time back please","20","2 weeks ago (edited)"
"@Mashal215","RE 9?","146","3 weeks ago (edited)"
"@brenohenriqueb","Pelo amor de deus, alguém me ajuda. Qual foi o evento que teve o lançamento de um jogo de zumbi 2D, sobrevivência, que mostrava uma casa cortada transversalmente e os sobreviventes dentro dela? Queria saber o nome do jogo.","         ","1 day ago"
"@bed391b5","I would be delighted if a new Sly Cooper game or a stealth game similar to Tom Clancy's Splinter Cell were to be released.","         ","2 weeks ago"
"@MoooseKing","Anyone else bring their best clown makeup for Kingdom Hearts 4?","75","2 weeks ago"
"@ZiAD-io3yk","Resident evil 9 .. PLEASE!","278","3 weeks ago"
"@siloPIRATE","Like we needed more FPS games. The real star of the show is at 32:00. We get to find out what Astro did after fighting the dinosaur","         ","2 weeks ago"
"@DionarTheLord","One day we will have ps3 games (like infamous) and bloodborne remaster and on pc.. One day..","1","2 weeks ago"
"@Igones","I’m so stupid, I always kinda hope for bloodborne knowing it will not happen","10","2 weeks ago"
"@deathahoy8971","It’s so over blood bros","23","2 weeks ago"
"@iqraahmed830","All I wanted was something on MGS Delta: Snake Eater... Just anything... My day was ruined.","1","2 weeks ago"
"@QlawzetReamL14","Where Winds Meet gets a ""B"" out of me. Nioh and Rise of the Ronin vibes coming from this. Looks promising cannot wait to see future updates.","         ","9 days ago"
"@KusholaCam","So concord is just overwatch","16","2 weeks ago"
"@temwiggles9012","No Metal Gear Delta gameplay? The reveal was a whole year ago...","11","2 weeks ago"
"@Alphasnowbordergirl","Going to have to wait for Blade next year I guess.","         ","13 days ago"
"@cemeryilmaz5660","Monster hunter wilds was by far the best one","1","2 weeks ago"
"@Manuel.Medellin","No new trailer for MGS Snake Eater was probably the biggest Let down. ","10","2 weeks ago"
"               @GeekU             ","That's it????????? where is Spider-Man 2 DLC? Wolverine? Resident Evil? Metal Gear 3 Remake?","31","2 weeks ago"
"@Alphasnowbordergirl","Well, Astro was the only one I was interested in. Got to live in the nostalgia. Concord looked kind of interesting, but I don't do multiplayer unless it is couch co-op. You know what games used to do. I don't want to talk or play with strangers! It's more fun to yell at family for failing you while they're sitting right next to you","         ","13 days ago"
"@NemesisMPPI","Silent Hill 2 Remake ","1","2 weeks ago"
"@itsABfr","Astro Bot being the best game announced shows how big of a failure this is.","37","2 weeks ago (edited)"
"@ramijaber8238","Sony, You need to wake up. WHERE ARE THE GAMES WHERE ARE THEY?!","16","2 weeks ago"
"@sergiomelendez285","Sums up the state of Gaming these days, i've accepted 2-3 big games a year with one of those being an unneeded sequel or remake","         ","2 weeks ago"
"@Bmjr899","Nice try Sony. Now please show us the real state of play","1","2 weeks ago"
"@paulagarciallorente","️️ Dino Crisis prayer button (aint happening)️","84","3 weeks ago (edited)"
"@lasthopedan","Concord would have been a fantastic title similar to guardians of the galaxy.....instead they preferred to make an overwatch that no one missed...but is it possible that they NEVER manage to listen to what the public wants!??!?","27","2 weeks ago"
"@karlos3063","Has Sony completely forgotten about PS4 ","         ","2 weeks ago"
"@kukuV.3","Concord just seems like overwatch with extra steps","         ","2 weeks ago"
"@Damnsceptic1","To be fair, Where Winds Meet is supposed to be an amazing game. I was sad, when it was announced only on PC. But now I am really excited for it to be on PS5.","14","2 weeks ago"
"@BratVaxer","THS LOOKS LIKE ANOTHER OVERWATCH CLONE","48","2 weeks ago"
"@brigandian","Concord looked soooo nice... until they said it's another 5v5 multiplayer bulls**t :(","         ","2 weeks ago"
"@TrollingstonJohn","i'm stoked to have Ragnarok on PC finally","         ","2 weeks ago"
"@CyndaYT","Antara, Astro Bot, and Path Of Exile are the only 3 games I'm interested in out of all of this. Also Concord not being a free to play game with a battle pass system gonna hurt the game long term.","10","2 weeks ago"
"@theoutlawking9123","New Sly Cooper, New Resistance, New KILLZONE, c'mon Sony!","110","3 weeks ago"
"@FoNgThOnG","People: We want Guardians of the Galaxy, Overwatch, and Baymax. Sony: We have Guardians, Overwatch, and Baymax at home, it's called Concord though.","         ","2 weeks ago (edited)"
"@samflood5631","I think that both Silent Hi 2, Ballad of Antara, Where Winds Meet and Monster Hunter Wilds look promising and might be great.","         ","10 days ago"
"@Alimighti","We getting Bloodborne 2/Remake before GTA 7 ","267","3 weeks ago"
"@crossfire34","Can't you just smell the disappointment  coming?","118","3 weeks ago"
"@psdmaniac","Twisted metal with co-op and split screen, Lapd future cop (also great co-op and split screen ) or warzone 2100 sequel . That is all I need","         ","2 weeks ago"
"@sekiro5870","Concord looks like the type of studio that has DEI on the top of their list.","3","2 weeks ago"
"@greatvegetablesyes","Awesome. I love completely CGI trailers.","22","2 weeks ago"
"@V4mini","NEW ASTRO GAME WE ARE SO BACK","93","2 weeks ago"
"@MrPlum1282","Where winds meet is the only one of interest for me. ","         ","2 weeks ago"
"@nazart7830","They should have at least announced spider man 2 single player dlc","         ","2 weeks ago"
"@Seshking69","Marvel Spider-Man 2 DLC expansion please","40","3 weeks ago"
"@Halo117Legend","Concord looks so disappointing. I was expecting a really neat new single player Triple AAA game, not a generic looking multiplayer game. The moment they said ""5v5 team shooter"" is why I don't trust gane devs or cinematics anymore.","47","2 weeks ago"
"@lonewolfgames7779","I think it's time for a game crash. We are sorely needing one.","1","2 weeks ago"
"@thewaffletaco8184","Behemoth is the only thing that im really looking forward too. And Until Dawn, thatll hopefully be a fun trip down memory lane","         ","2 weeks ago"
"@user-hn1nt4kk5v","Do we have a need to worry about the fact that Astro Bot was one of the best games in this gen?......","8","2 weeks ago"
"@r-rod8116","Astro Bot was the only thing I liked on this State of Play and Silent Hill 2 remake. The rest sucked.","11","2 weeks ago"
"@EsinAmiz","It is absurd to have a 10-second countdown for a 30-second countdown.","         ","2 weeks ago"
"@MobBossBobRoss","Monster Hunter Wilds was dope to see, only wish they showed off more enemy types/biomes. Astrobot looks surprisingly great. I'll be honest, I'm not as negative as others about Marvel Rivals or Concord. I would try them as Overwatch has gone into the trash and I've never played Valorant but I do see oversaturation in that space.","         ","2 weeks ago"
"@rajamohanareddygayam5309","If there's either a SM2 DLC/ Venom/ Wolverine/ Astro game, I'm satisfied.","167","2 weeks ago"
"@torteweenie8406","Where is sackboy? Is he safe?","26","2 weeks ago"
"@Riddler_von","I don’t want to play with other people. I game alone and love it that way.","1","11 days ago"
"@QlawzetReamL14","Astro Bot is very charming. I am glad this little guy is getting another game.","         ","9 days ago"
"@arthurmaxson9698","Will only be peak if they announce ps5 ports for the Ratchet and Clank Trilogy.","33","3 weeks ago"
"@BratVaxer","Shut up and take my money ASTRO BOT ","44","2 weeks ago"
"@Shikori_Tsuru","Ballad of Antra is looking sick. As long as the gameplay is smooth I should enjoy it (not like I have a PS5 though).","         ","2 weeks ago"
"@adamdufty2536","Concord had me excited. Thought it looked like a cool futuristic game that gives a similar vibe to Uncharted. I can't wait to jump into that single player adventure for treasure across a series of strange new worlds. I wonder which character I get to play as. Then they said 5v5 shooter and I said nope. Not for me.","         ","2 weeks ago"
"@Spider-Bite","Wow, a cutscene. We want gameplay.","84","2 weeks ago"
"@akagolden","Why do I always hype myself up and end up disappointed. I need to start going in with low expectations.","16","2 weeks ago"
"@wizrd1014","Concord would’ve been cool as a single player but I guess that’s to much to ask for","         ","2 weeks ago"
"@Karlsefni-tu4zf","I was honestly interested in checking out Concord, then when it said 5v5, I just tuned out completely.","         ","2 weeks ago"
"@DelDjango96","Resident Evil?","185","3 weeks ago"
"@Abitofeverything4","Concord looks like a mix between Destiny and Suicide Squad. Not interested.","11","2 weeks ago"
"@HansenHansenHansen","I questioned my decision for buying ps5. Should’ve wait and play it on my PC instead…","         ","2 weeks ago"
"@ther0n1nnamed47","Concord had me excited until it was revealed to pretty much be an overwatch clone (to be fair, overwatch's cinematic trailers had me excited too)  Tha said im only excited for a few games here still after this.","         ","2 weeks ago (edited)"
"@SoundwaveSpectre","love that they opened with great value brand guardians of the galaxy.","17","2 weeks ago"
"@Mimic_Gaming","Well this felt like a waste of time  Edit: until I saw the astrobot game","43","2 weeks ago (edited)"
"@piotrfrys7983","It would be funny if they announced the PS5 Pro inside Astro Bot","         ","2 weeks ago"
"@damiansouders9119","The thing ive always loved about PlayStation and has kept me a devoted fan up to this point were single player games with great stories but seeing as how everything is starting to go online and thats where the main focus lies, i may as well go buy an xbox now. They already bought out most of the major titles anyway. Gonna be sad to see a console that has been in my life since as far back as i can remember probably not make it to the end of the decade.","1","9 days ago"
"@mbarrios386","Nothing is catching my eye so far…any one else having this issue?","17","2 weeks ago"
"@alecks8432","Concord was almost such a cool singleplayer game.","17","2 weeks ago"
"@GarryMah85","I'm excited for Astro Bot being a full fledge game","         ","2 weeks ago"
"@oscarcamey8","Hyped for Astro bot!","1","2 weeks ago"
"@pastramipete4713","Chinese/japanese developers try not to just make a souls like challenge. Difficulty impossible","28","2 weeks ago"
"@Alien_isolationist","It's June, they should be giving us gameplay trailers & release dates of every single game for 2024, only 7 months left in the year   ","87","3 weeks ago (edited)"
"@iNINJAgamer","Astro Bot was a slap in the face… to who you know who. ","         ","2 weeks ago"
"@AtomicRey","Monster Hunter Wilds is all I cared about ","1","2 weeks ago"
"@Phasmomancer","Literally a waste of time","39","2 weeks ago"
"@InvitalPulse","Wow, that was nothing.","28","2 weeks ago"
"@Rancor9000","Please no more live service multiplayer hero shooters...","1","2 weeks ago"
"@dominicmallano5633","What if they combine guardians of the galaxy and overwatch?   You just get an overwatch clone","         ","2 weeks ago"
"@Winter_mendor","1) Spiderman 2 dlc 2) ps5 pro 3) marvel wolverine  4) venom game 5) new astro bot game","57","3 weeks ago"
"@treovr","AstroBot is the best, Sony please dont ever abandon him like every other mascot","12","2 weeks ago"
"@razz9266","WE ALL DO NEED MULTILAYER ONLINE.. Like where we were a kids, we like to PLAY games together but then we grow up, time and place we don't have. Multiplyer games is your answers, with so many people that can be your friend. If you bored play solo games you can play with them.","         ","2 weeks ago"
"@liv3vilkei409","Am I the only one showing interest in Ballad of Antara?","         ","2 weeks ago"
"@kommanderkronk","So we have Guardians of the Galaxy Overwatch and Marvel Overwatch....jsut making sure I'm keeping up","11","2 weeks ago"
"@adrianjimenez409","New IP's!","94","3 weeks ago"
"@TrickyJebus","Dynasty warriors origins seems pretty cool though","         ","2 weeks ago"
"@QlawzetReamL14","Concord gets a ""C"" out of me. Presentation was fine, it told me some lore, showed a gameplay clips (I guess). It looks like if Overwatch and Guardians of the Galaxy did a fusion dance. Again ""C"" is my grade cause there is a possibility of it being a ""rushed product"" and I like my games at least playable on day one(ish).","         ","9 days ago"
"@BraydenGustBriggs-iq3bn","Bro they ended it right there️","9","2 weeks ago"
"@AFK_Psychics","I didnt really have much hope for RE9 being revealed, but now since Play Asia released it for Pre-Order and called it Revenant Shadows. I think chances might have gotten a little higher","9","3 weeks ago"
"@aidryanrobert9352","This was bad. . . . Seems to me that Sony wants me to sell my ps5 . . . .","1","2 weeks ago"
"@zimmyp","Baldur's Gate 3 really was the peak of gaming wasn't it?","         ","2 weeks ago"
"@tacosdecabeza","Bro Concord looks like if Overwatch, Destiny, Call of duty, Valorent, and Xdefiant had a Child","8","2 weeks ago (edited)"
"@wuztron","Okay, Monster Hunter looks pretty dope.","19","2 weeks ago"
"@RuzakyNOD","Where is single player great games? What is ps5 at this point? Live service console ?","1","2 weeks ago"
"@sankai91","""GoW coming to PC"" - me: oh!  ""PSN mandatory"" - me: oh.. ","         ","2 weeks ago"
"@niveketihw1897","Kind of crazy that Astro Bot was PSVR1-only, and now we have a new Astro Bot game that apparently doesn't even use PSVR2.","21","2 weeks ago"
"@user-Dragon-King740","Please Marvel’s Spider-Man 2 dlc","64","3 weeks ago"
"               @IOSARBX             ","PlayStation, This is so fun! I'm happy I found your channel!","         ","2 weeks ago"
"@DelcoAirsoft","The fact that we got trailers for two hero shooters that look like Overwatch ripoffs just shows that the current industry doesn’t know what people want. They probably started making these game like 5 years ago at least. It’s so out of touch.","         ","2 weeks ago"
"@CameronCarterTV1","we need a parappa the rapper game tbh","8","2 weeks ago"
"@kanashima","remake nobody wanted","17","2 weeks ago"
"@GlaciusXL","CONCORD looks like a PS Plus Monthly game that I'd pass on.","         ","2 weeks ago"
"@calcifervenere9742","The Gameplay and animations of Concord really look like Destiny","         ","2 weeks ago"
"@-Down-D-Stairs-","Wishlist:  • Bloodborne Remastered / Remake  • Jak & Daxter 4  • Legend of Dragoon Remake • Playstation All-Stars 2  • Sly Cooper 5","37","2 weeks ago"
"@jonathantyner171","I need Kingdom Hearts 4 and Soul Calibur 7","76","3 weeks ago"
"@breadlast","Everything except Monster Hunter Wilds and PoE2 looks kinda lame but I'm excited for those two.","1","2 weeks ago"
"@jan-henrik1237","PoE 2 Couch Coop and Astro Bot are the highlights for me ","         ","2 weeks ago"
"@underratedgamer9243","Like Zendaya said in Spider-Man no way home expect disappointment so you won’t be disappointed","20","2 weeks ago"
"@mjdc-james","I am hoping for Spider-Man 2 DLC, TLOU 3, RE9, Wolverine, or Ghost Of Tsushima 2!!! ","16","2 weeks ago"
"@johnnyp1852","I only play single player games(nonVR).  Only two things caught my eyes: The Astro trailer for a second reminded me of Knack and I thought it could be playable.  The top down game when I saw it I thought hey I could see myself playing that on PC.  I almost hope the majority of the players are into multiple player, micro transactions, pay to win games, otherwise Sony may be even more anti customer than I already believe them to be.","         ","2 weeks ago"
"@PheenX","So help me understand, why are we getting a special State of Play segment for a game we already have, getting a pc port? Like what does that have to do with Playstation or State of Play","1","2 weeks ago"
"@Walt_Raleigh","Astro looks fun 5 years late, but fun","25","2 weeks ago"
"@DARUMA_05","33:33 PARAPPA THE RAPPER REFRENCE?!?!   dude... this is gonna be goty frfr","27","2 weeks ago"
"@bizybee8192","Ive been a gammer for 35 years and the number one thing i have learned when people say Gameplay.... It never is the final product and is not actual gameplay :D","         ","2 weeks ago"
"@Lock2002ful","Finally got around to watch this. Phew, that was something.. Guess Silent Hill 2 and Astrobot are it. Astrobot can really by Sony’s Mario. I love the char(s), the visuals and most importantly the gameplay. They need to have an Astro Boy platformer and VR 2 game ready every couple of years, not once in a generation.","1","2 weeks ago"
"@jayr3053","Astrobot should have a VR mode..","14","2 weeks ago"
"@Akirapoet","If I had one cent everytime I see a ninja or samurai game nowadays...","11","2 weeks ago"
"@WavyVaporizers","Ballad of Antara will be a masterpiece","         ","2 weeks ago"
"@rincein","I think Playstation is just waiting for gta just like all of us","         ","2 weeks ago"
"@dantealexanderescotogomez9759","I don't know if it appears the same to you but it tells me that the video lasts 35:32 minutes","38","3 weeks ago"
"@rpantocet","We hope remakes of classic PS3 games","22","3 weeks ago"
"@Alexkid-mi6mb","Why is Astro Bot not 4 PSVR2? It’s a shame.","         ","2 weeks ago"
"@13DNBNGAMING13","I'm on  the verge of buying a PS5 and hoped to get reeld in with this state of play. Only thing it told me was don't!","         ","2 weeks ago"
"@gabriellins9881","Where is Ghost of Tsushima 2?","9","2 weeks ago"
"@zy2239","Shadow of the Colossus 2 … mark my words ","44","3 weeks ago"
"@EspenAndreassen77","Astro Bot should be a couch co-op game.","         ","2 weeks ago (edited)"
"@Kinos141","Silent Hill 2 is looking very Resident Evil 2 and I like that.","         ","2 weeks ago"
"@SnuffleUffagus","When astro bot is your most exciting game you messed up.","20","2 weeks ago (edited)"
"@howgamin","now that ragnarok is on pc, the ps5 truly has no games","30","2 weeks ago"
"@astahesta123","Astrobot looks incredible!!","         ","2 weeks ago"
"@mickeyd343","I didn't know Super Mario Galaxy Odyssey was coming coming to the PS5, but why are they calling Astro Bot","         ","2 weeks ago"
"@gtone339","Perhaps a surprise announcement from an unknown studio?","36","3 weeks ago"
"@dantein1081","They should’ve done nothing","11","2 weeks ago"
"@EnahsFurm","How anyone thinks PlayStation is ahead of of Microsoft.. are insane.","1","2 weeks ago"
"@prazzo1232","Who is most excited for Astrobot!?!?!","         ","2 weeks ago"
"@pabloqp7929","Bloodborne Remaster on PC, Bloodborne 2!!","81","3 weeks ago"
"@Lorenzopariso","Playstation show but featuring the biggest highlight is its game coming to PC","11","2 weeks ago"
"@David_loves_foods","Astro bot is the only game that I want from what was shown","         ","2 weeks ago"
"@mimicman06","When the Astro Boy trailer is the best thing shown, something is wrong with the State of Sony's lineup.  I will be watching Astro Boy closely though, for real.","         ","2 weeks ago"
"@ArxAngel12377","We are focused on exclusives! That was the main idea why Sony still needs to take money for both PS Subscription AND their new ""exclusives""... And once again an exclusive stops being exclusive in order to gain even more money. So we do have Demon's Souls as an actual exclusive. 4 years has passed. Can you name 4 other actual exclusives that gamers have for PS5 only? This State of Play is a disaster. When main titles are another Remake of PS2 game and Astro Bot... I think Sony admits that they are completely out of ideas already. Actually who cares about Pro version, when there is NOTHING that you are offering from your end?! Better hardware... but what for, Sony?! Actually - what for?!!! Where are the promised ""like no other"" exclusives?!","16","2 weeks ago"
"@victorblakely6355","Who's sick of battle royals..   Me","8","2 weeks ago"
"@bellissimo4520","17:50 - FINALLY a VR action game with not frikkin floating hands!! Seriously, why is that so hard to do... floating hands are horrible and completely destroy the immersion.","         ","2 weeks ago"
"@Dunnkare","Monster Hunter wins the show, but Astro Bot swoops in for a very close second place. Playroom was awesome and this new game just looks great!","1","2 weeks ago"
"@baddmeeloo","MGS 3 Remake and DBZ Sparking Zero release date!!! New PSP!!!","38","3 weeks ago (edited)"
"@nsomniak8196","best game shown so far!!! so happy the launch title is getting a sequel 5 or so years later!!! worth the wait !!!","17","2 weeks ago"
"@angelosa.3178","All that for a 5v5 multiplayer….sad","2","2 weeks ago"
"@Darksaviour","26:06 can we please make this a frequent thing again.","         ","9 days ago"
"@THEBEASTKING109","Kingdom Hearts 4","36","3 weeks ago"
"@X..8","Sony is number one in exclusives","47","3 weeks ago"
"@Mattressinsptr","Old gamer here. Not into FPS at all.  Was just recently playing the Astrobot that came with PS5. Forgot how much fun it was.. Love seeing a new Astrobot coming to PS5. Not much excited me in video cept Monster Hunter.  I didn't see one JRPG ","         ","2 weeks ago"
"@QlawzetReamL14","Skydance's Behemoth gets a ""C"" out of me. I don't play VR games however presentation looks promising, I guess. Skyrim vibes.","         ","9 days ago"
"@avpedmond1923","Resident Evil 9 ","51","3 weeks ago"
"@pinny_wiz8090","Show me new Astro thank u","22","3 weeks ago"
"@hernangodoyyanez8785","Helldivers 2 looking at the comments must be shaking the head.","         ","2 weeks ago"
"@vakeervondelecruax8526","Destiny + Apex + Overwatch = Concord hmm... yeah not feeling this one....","1","2 weeks ago"
"@AlbertoAguilera-vh9xf","I’m hoping for a new infamous game or a new project from Fumito Ueda","12","3 weeks ago"
"@paulrussell9632","Why are there people dressed like influencers in a Monster Hunter game?","30","2 weeks ago"
"@davidsingleton2395","i see only moster hunter... it was only ever monster hunter","1","2 weeks ago"
"@eliascervantes193","until dawn could've used an actual date js","         ","2 weeks ago"
"@LockyMVoices","GIVE US SLY 5 ALREADY","8","3 weeks ago"
"@rapidblaster2648","I Wonder if they will keep on promoting VR.","8","3 weeks ago"
"@herrypottier4201","Does this mean my PS5 can fly? ","         ","2 weeks ago"
"@henryhau7987","Enjoying my 4th playthrough of Stellar Blade and laughing at yet another live service game I will never play.","         ","2 weeks ago"
"@k.a.g5715","What is this reincarnated in another world as a photographer","9","2 weeks ago"
"@oldmilesmoralesrblx","I NEED A SPIDER-MAN 2 DLC","47","3 weeks ago"
"@deebeneby8811","Please put ready or not swat game on ps5","         ","2 weeks ago"
"@muhammadwaseem3604","SONY Should also develope a Cinema gaming technology in which A lot of players can enjoy hyper realistic animation Scaled games in multiplayer mode in Gaming Cinema concept. SONY can also develop VR view and virtual environmental Technology that can mimic the environment of the game. And a specific VR projection Could be used for Realistic feel and interaction.","1","2 weeks ago"
"@AzAnimeParodiaStudio","Dear Sony! I Hope some of the Management is going to check on the comments after this state of play! You can alredy stop working on the Concord because the game is alredy doomed. You giving us PC ports on the official Playstation Reavel event??? NONE of these multiplayer b**s***t games will survive more than a few weaks after relase. Pepole buy playstation for SINGLE PLAYER experiences.. thats wy you got those massive third party studios... and where are they? None of them relased nothing so far.... you are lucky with helldivers 2 but eaven that games luck is statring to fade...a few more State of Plays like this and your sales will fade as well...","25","2 weeks ago (edited)"
"@crystalknighthgaming","An alien vr game heck ya","9","2 weeks ago"
"@musticlas","State Of Play doesn't feel like PlayStation anymore. It feels more like Ubisoft/EA now... so out of touch, awkward dialogue of both presenters and games characters, intermission/transition music between games, etc...","1","2 weeks ago (edited)"
"@TheHardStyleLife","Nintendo just sitting there ready to annihilate the competition.","         ","2 weeks ago"
"@nicsilva5438","Pragmata ","54","3 weeks ago"
"@MedicFromMoon","Who is the audience for this?","9","2 weeks ago"
"@ScacklyWackly","Petition for something to do with Bloodborne  ","8","2 weeks ago"
"@QlawzetReamL14","Marvel Rivals gets a ""looks promising, I hope it works"" out of me. While it is not my kind of gameplay style, I could see myself playing this on and off just because of the Marvel paint.","         ","9 days ago"
"@TRYNDAREUS","Nothing but live service Fortnite copies, remakes and pc ports.","10","2 weeks ago"
"@niktroll2034","SILENT HILL, PLEASE","20","3 weeks ago"
"@TrickyJebus","When are you going to fix the PSN account being banned in 100+ countries???","         ","2 weeks ago"
"@abraham2217","I would wish for a Days Gone sequel, but that would be too grandiose.","         ","2 weeks ago"
"@davidjones797","At this point Sony are just telling me to get a pc","10","2 weeks ago"
"@budz2420","I wanna see Spider-Man DLC, Spider-Man DLC, Spider-Man DLC and did I mention Spider-Man DLC","10","3 weeks ago (edited)"
"@QlawzetReamL14","Until Dawn gets a ""I already played this"" out of me. Remake or Remaster, this looks much better compared to the original release.","         ","9 days ago"
"@Utenlok","""We have Guardian of the Galaxy at home""","         ","2 weeks ago"
"@mcdoogle523","They'll really do ANYTHING except give us more Bloodborne huh","20","2 weeks ago"
"@fenixloder","Kingdom hearts 4 please","10","3 weeks ago"
"@b3nderman","Loved the Astro Bot game! and Silent Hill 2, looking forward!","         ","2 weeks ago"
"@MrStarkisser","Concord is so basic you think it's an overwatch dlc","         ","2 weeks ago"
"@luciekokyova7701","That was terrible","9","2 weeks ago"
"@emipiz2663","Calm guys bloodborne kart finally coming","14","3 weeks ago"
"@conqueso325","Concord looks really fun actually. I want to play it","         ","2 weeks ago"
"@Walt_Xander94","Just bring full mod support to PS5 already.","         ","2 weeks ago"
"@Heisenbernt","Guarrdians of the galaxy knock off","11","2 weeks ago"
"@caffeinebob4458","How does SH2 look worse???","12","2 weeks ago (edited)"
"@willmorgan5692","I wish they could be the great gaming company when the PS4 was in it's glory,we may never see such greatness again","         ","2 weeks ago"
"@nanggoputro307","Astro Bot, this kind of game is my favorite, looks cute and fun at the same time","         ","2 weeks ago"
"@GmrDad82","Another live service that will fail...","13","2 weeks ago"
"@fulgenzio1973","OMFG Astrobot is AMAZING","12","2 weeks ago"
"@themoviecritic1092","Astro Bot is about to single-handedly save Sony","4","2 weeks ago (edited)"
"@fretboarder4752","Maybe 2 or 3 games worth playing there.","         ","2 weeks ago"
"@ilantiano","THE GOTY 2024 IS..... SILENT HILL 2!!","8","3 weeks ago"
"@chaseturner2402","Waste of time","47","2 weeks ago"
"@lancelust","Bring back E3 so we can see real competition in gaming industries. This showcase are trash","2","2 weeks ago (edited)"
"@sapphic_sleeper","I've never been less excited about a state of play. stop it with the live service games, i beg.","1","2 weeks ago"
"@ilive4retro","Stop making every game look like ghost of Tsushima and Elden Ring.","27","2 weeks ago"
"@lunaradept","We really got nothing so far","34","2 weeks ago"
"@germansherman7707","i've bought na ps5 to play on ps5. i don't care PC. but seems like we have to move there because they get the best","1","2 weeks ago"
"@OneEyedKingg","2 overwatch clones, 2 ports, a Pokémon snap sort of game, 2 dark souls clones, another dynasty warriors game, another monster hunter game, 2 vr games for the 2 people that bought it and Astro bot.","         ","2 weeks ago (edited)"
"@alexar570","THIS SHOW IS DISAPPOINTING","13","2 weeks ago"
"@lolacexl","backwards compatibility please. For ps3.","10","3 weeks ago"
"@valeryvalery-uc5pb","30 thousand dislikes indicate that, unfortunately, Sony is moving in the wrong direction.And we still don't know when the Playstation Showcase will take place.","         ","5 days ago"
"@KamalTiwari82","I have a PC so if I can experience PS5 games on PC that gives me the option to not get a PS5 until I decide that I really really really want one.","         ","2 weeks ago"
"@ejabgaming1757","Why Did I buy a PSVR2","9","2 weeks ago"
"@speccyproductions","Freddy Fazbear better show up","22","3 weeks ago"
"@Hiddenkidtv","All hope was lost, then my BOY, ASTRO BOT SAVED THE DAY","         ","2 weeks ago"
"@valrik16","Infinity Nikki, Ballad of Antara, and  Where Winds Meet are the games I'm excited for. ","         ","2 weeks ago"
"@Deadkami","Turned off live comments","9","2 weeks ago"
"@VashTheHumanStampede","Another L for $ony ️ and remember guys this is not for the players anymore but for the $hareholders ","8","2 weeks ago"
