Username,Comments,Likes,Date,Hour,Sub Comments
@street.code_,I'm glad yall are updating Astro Bot my boys love to play that.,11,5/31/2024,3 AM,0
@strizzulz,The only way to really sell more ps5 is to come out with next generation games. To many ps4 players have jailbreak consoles,0,6/1/2024,2 AM,0
@stuff4geekz,"The state of play was garbage. It seems like every year, it's getting worse and worse. A bunch of MP games, crap games that require transactions every minute, nothing really worth waiting for, except for maybe  SH2 and MH. Good thing for retro gaming. Otherwise, man... current gen blows ass.",0,6/1/2024,6 AM,0
@stuff4geekz,@supergamerpals screw 60frames when its bloodborne. It doesn't need it.,0,6/1/2024,6 AM,0
@stuff4geekz,@mfayez91 you're goddamn right.,0,6/1/2024,6 AM,0
@sukmyjuicyjuice,State of play was so bad lol i hope Microsoft save us lol i don't know if Sony trying too troll us or what,1,5/31/2024,3 AM,0
@sundis_swe,Why isent astrobot for vr2?????,0,5/31/2024,5 PM,0
@supersayainbroku,They announce this thing like 5 days ago what did you expect Spider-Man 3,0,5/31/2024,5 AM,0
@swimingpls,xbox cooked,1,21/06/2024,3 PM,0
@td81_____,Please new Astro Game,4,5/31/2024,3 AM,0
@thabisocassette,Great question,0,6/1/2024,1 PM,0
@thatreversedpersona,shitshow,0,5/31/2024,6 AM,0
@the.damnmexican,how the fuck was the sequel to a demo the best thing here,1307,5/31/2024,2 AM,71
@the_only_javilicious,This and Concord,0,5/31/2024,3 AM,0
@thedevilsfallenangel,UNTIL DAWN YES YES YES YES YES,0,6/1/2024,11 AM,0
@themadcash,Crazy the best thing was a sequel to a demo. I guess Sony must've realized Astro is their Mario,4,5/31/2024,3 AM,0
@thestonerose1995,Lol Instagram is being soft theyre removing my comments,1,5/31/2024,3 AM,0
@theuz07.xxp,da uma promoçãozinha mês que vem no Hogwarts legacy mês que vem,0,22/06/2024,7 AM,0
@they.luv.zayy,Dawg we don't need another damn Astro game,20,5/31/2024,2 AM,21
@tim_kowalczyk,No Resident evil,7,5/31/2024,8 AM,0
@tlou2photography,I heard this was the worst state of play in the history of state of plays (I'm so hyped for SH2),44,5/31/2024,2 AM,3
@tomropikis,Well Done 👏👏👏,0,03/06/2024,1 PM,0
@tomropikis,Congratulations👏👏👏,0,6/3/2024,1 PM,0
@troy.hall75,@leafs_fan_1990 💀,0,6/3/2024,6 AM,0
@untilmori,UNTIL DAWN REMASTER SUPREMACY,1,5/31/2024,3 AM,0
@virdiawan_ip,where gta 6,4,5/31/2024,3 AM,0
@wally.mc,My boy!,5,5/31/2024,3 AM,0
@xbox,@swimingpls LOOK AT THEM GAMES.,1,21/06/2024,10 PM,0
@xbox,@retrogaming1991 We are so very very VERY excited.,0,21/06/2024,10 PM,0
@xbox,@richard.drives Honestly? Yes 😎,0,21/06/2024,10 PM,0
@xxshotgunshanexx,"No last of us, no wolverine, no days gone, no spiderman 2 dlc. Weak ass state of play",0,5/31/2024,4 AM,0
@yajin._,stop with the remasters and pc ports and give us actual games that value our decision of buying a ps5,0,5/31/2024,3 AM,0
@ymemon2005,goddamnit another year and no bloodborne 2,1,5/31/2024,3 AM,0
@younghrtbeat,Pfp😔,0,22/06/2024,4 PM,0
@yung_bruh_tru,HAHAAA THERE'S MY BABY BOY,0,5/31/2024,6 AM,0
@yuvi_x_gojo,Winner of the state of play,0,5/31/2024,7 AM,0
@z3r0_es0t3r1c,Hifi Rush is better than all of these,0,21/06/2024,3 AM,0
@zackuigi,"We got Astro Bot at least, Playroom is already a nice experience so having team Asobi have the budget of a full fledged game instead of just a pack in title. Silent Hill 2 and Until Dawn looked nice, everything else felt boring as hell tbh. As my first state of play, this felt like a Walmart brand Nintendo Direct tbh :/",5,5/31/2024,3 AM,0
@zucatii,@hiimelijahramirez imagine spending 500 beans because of a picture 😂😂😂😂,0,22/06/2024,6 AM,0
